n,0.001,0.005,0.01,0.025,0.05,0.1,0.2
5,--,--,--,--,--,0,2
6,--,--,--,--,0,2,3
7,--,--,--,0,2,3,5
8,--,--,0,2,3,5,8
9,--,0,1,3,5,8,10
10,--,1,3,5,8,10,14
11,0,3,5,8,10,13,17
12,1,5,7,10,13,17,21
13,2,7,9,13,17,21,26
14,4,9,12,17,21,25,31
15,6,12,15,20,25,30,36
16,8,15,19,25,29,35,42
17,11,19,23,29,34,41,48
18,14,23,27,34,40,47,55
19,18,27,32,39,46,53,62
20,21,32,37,45,52,60,69
21,25,37,42,51,58,67,77
22,30,42,48,57,65,75,86
23,35,48,54,64,73,83,94
24,40,54,61,72,81,91,104
25,45,60,68,79,89,100,113
26,51,67,75,87,98,110,124
27,57,74,83,96,107,119,134
28,64,82,91,105,116,130,145
29,71,90,100,114,126,140,157
30,78,98,109,124,137,151,169
31,86,107,118,134,147,163,181
32,94,116,128,144,159,175,194
33,102,126,138,155,170,187,207
34,111,136,148,167,182,200,221
35,120,146,159,178,195,213,235
36,130,157,171,191,208,227,250
37,140,168,182,203,221,241,265
38,150,180,194,216,235,256,281
39,161,192,207,230,249,271,297
40,172,204,220,244,264,286,313
41,183,217,233,258,279,302,330
42,195,230,247,273,294,319,348
43,207,244,261,288,310,336,365
44,220,258,276,303,327,353,384
45,233,272,291,319,343,371,402
46,246,287,307,336,361,389,422
47,260,302,322,353,378,407,441
48,274,318,339,370,396,426,462
49,289,334,355,388,415,446,482
50,304,350,373,406,434,466,503
