n,a1,a2,a3,a4,a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25
2,0.7071,,,,,,,,,,,,,,,,,,,,,,,,
3,0.7071,,,,,,,,,,,,,,,,,,,,,,,,
4,0.6872,0.1677,,,,,,,,,,,,,,,,,,,,,,,
5,0.6646,0.2413,,,,,,,,,,,,,,,,,,,,,,,
6,0.6431,0.2806,0.0875,,,,,,,,,,,,,,,,,,,,,,
7,0.6233,0.3031,0.1401,,,,,,,,,,,,,,,,,,,,,,
8,0.6052,0.3164,0.1743,0.0561,,,,,,,,,,,,,,,,,,,,,
9,0.5888,0.3244,0.1976,0.0947,,,,,,,,,,,,,,,,,,,,,
10,0.5739,0.3291,0.2141,0.1224,0.0399,,,,,,,,,,,,,,,,,,,,
11,0.5601,0.3315,0.226,0.1429,0.0695,,,,,,,,,,,,,,,,,,,,
12,0.5475,0.3325,0.2347,0.1586,0.0922,0.0303,,,,,,,,,,,,,,,,,,,
13,0.5359,0.3325,0.2412,0.1707,0.1099,0.0539,,,,,,,,,,,,,,,,,,,
14,0.5251,0.3318,0.246,0.1802,0.124,0.0727,0.024,,,,,,,,,,,,,,,,,,
15,0.515,0.3306,0.2495,0.1878,0.1353,0.088,0.0433,,,,,,,,,,,,,,,,,,
16,0.5056,0.329,0.2521,0.1939,0.1447,0.1005,0.0593,0.0196,,,,,,,,,,,,,,,,,
17,0.4968,0.3273,0.254,0.1988,0.1524,0.1109,0.0725,0.0359,,,,,,,,,,,,,,,,,
18,0.4886,0.3253,0.2553,0.2027,0.1587,0.1197,0.0837,0.0496,0.0163,,,,,,,,,,,,,,,,
19,0.4808,0.3232,0.2561,0.2059,0.1641,0.1271,0.0932,0.0612,0.0303,,,,,,,,,,,,,,,,
20,0.4734,0.3211,0.2565,0.2085,0.1686,0.1334,0.1013,0.0711,0.0422,0.014,,,,,,,,,,,,,,,
21,0.4643,0.3185,0.2578,0.2119,0.1736,0.1399,0.1092,0.0804,0.053,0.0263,,,,,,,,,,,,,,,
22,0.459,0.3156,0.2571,0.2131,0.1764,0.1443,0.115,0.0878,0.0618,0.0368,0.0122,,,,,,,,,,,,,,
23,0.4542,0.3126,0.2563,0.2139,0.1787,0.148,0.1201,0.0941,0.0696,0.0459,0.0228,0,,,,,,,,,,,,,
24,0.4493,0.3098,0.2554,0.2145,0.1807,0.1512,0.1245,0.0997,0.0764,0.0539,0.0321,0.0107,,,,,,,,,,,,,
25,0.445,0.3069,0.2543,0.2148,0.1822,0.1539,0.1283,0.1046,0.0823,0.061,0.0403,0.02,0,,,,,,,,,,,,
26,0.4407,0.3043,0.2533,0.2151,0.1836,0.1563,0.1316,0.1089,0.0876,0.0672,0.0476,0.0284,0.0094,,,,,,,,,,,,
27,0.4366,0.3018,0.2522,0.2152,0.1848,0.1584,0.1346,0.1128,0.0923,0.0728,0.054,0.0358,0.0178,0,,,,,,,,,,,
28,0.4328,0.2992,0.251,0.2151,0.1857,0.1601,0.1372,0.1162,0.0965,0.0778,0.0598,0.0424,0.0253,0.0084,,,,,,,,,,,
29,0.4291,0.2968,0.2499,0.215,0.1864,0.1616,0.1395,0.1192,0.1002,0.0822,0.065,0.0483,0.032,0.0159,0,,,,,,,,,,
30,0.4254,0.2944,0.2487,0.2148,0.187,0.163,0.1415,0.1219,0.1036,0.0862,0.0697,0.0537,0.0381,0.0227,0.0076,,,,,,,,,,
31,0.422,0.2921,0.2475,0.2145,0.1874,0.1641,0.1433,0.1243,0.1066,0.0899,0.0739,0.0585,0.0435,0.0289,0.0144,0,,,,,,,,,
32,0.4188,0.2898,0.2463,0.2141,0.1878,0.1651,0.1449,0.1265,0.1093,0.0931,0.0777,0.0629,0.0485,0.0344,0.0206,0.0068,,,,,,,,,
